message;severity;node;stamp;location
"Configuring backup";"20";"robot_0.behavior_server";"1771375426.309581251";"./include/nav2_behaviors/timed_behavior.hpp:configure:114"
"Creating behavior plugin backup of type nav2_behaviors/BackUp";"20";"robot_0.behavior_server";"1771375426.308528521";"./src/behavior_server.cpp:loadBehaviorPlugins:110"
"Configuring spin";"20";"robot_0.behavior_server";"1771375426.297276141";"./include/nav2_behaviors/timed_behavior.hpp:configure:114"
"Creating behavior plugin spin of type nav2_behaviors/Spin";"20";"robot_0.behavior_server";"1771375426.296209999";"./src/behavior_server.cpp:loadBehaviorPlugins:110"
"Configuring";"20";"robot_0.behavior_server";"1771375426.273623351";"./src/behavior_server.cpp:on_configure:70"
"Configuring";"20";"robot_0.planner_server";"1771375426.050057068";"./src/planner_server.cpp:on_configure:82"
"[34m[1mConfiguring planner_server[0m[0m";"20";"robot_0.lifecycle_manager_navigation";"1771375426.049686715";"./src/lifecycle_manager.cpp:message:504"
"[34m[1mConfiguring smoother_server[0m[0m";"20";"robot_0.lifecycle_manager_navigation";"1771375426.002226124";"./src/lifecycle_manager.cpp:message:504"
"Controller Server has FollowPath  controllers available.";"20";"robot_0.controller_server";"1771375425.954235331";"./src/controller_server.cpp:on_configure:193"
"Critic plugin initialized";"20";"robot_0.controller_server";"1771375425.954182288";"./src/dwb_local_planner.cpp:loadCritics:223"
"Using critic \"GoalDist\" (dwb_critics::GoalDistCritic)";"20";"robot_0.controller_server";"1771375425.953544893";"./src/dwb_local_planner.cpp:loadCritics:213"
"Critic plugin initialized";"20";"robot_0.controller_server";"1771375425.953372537";"./src/dwb_local_planner.cpp:loadCritics:223"
"Using critic \"PathDist\" (dwb_critics::PathDistCritic)";"20";"robot_0.controller_server";"1771375425.952994798";"./src/dwb_local_planner.cpp:loadCritics:213"
"Critic plugin initialized";"20";"robot_0.controller_server";"1771375425.952821633";"./src/dwb_local_planner.cpp:loadCritics:223"
"Using critic \"PathAlign\" (dwb_critics::PathAlignCritic)";"20";"robot_0.controller_server";"1771375425.952335495";"./src/dwb_local_planner.cpp:loadCritics:213"
"Critic plugin initialized";"20";"robot_0.controller_server";"1771375425.952149523";"./src/dwb_local_planner.cpp:loadCritics:223"
"Using critic \"GoalAlign\" (dwb_critics::GoalAlignCritic)";"20";"robot_0.controller_server";"1771375425.951545716";"./src/dwb_local_planner.cpp:loadCritics:213"
"Critic plugin initialized";"20";"robot_0.controller_server";"1771375425.951372665";"./src/dwb_local_planner.cpp:loadCritics:223"
"Critic plugin initialized";"20";"robot_0.controller_server";"1771375425.950818776";"./src/dwb_local_planner.cpp:loadCritics:223"
"Using critic \"RotateToGoal\" (dwb_critics::RotateToGoalCritic)";"20";"robot_0.controller_server";"1771375425.948834464";"./src/dwb_local_planner.cpp:loadCritics:213"
"Setting transform_tolerance to 0.200000";"20";"robot_0.controller_server";"1771375425.901118825";"./src/dwb_local_planner.cpp:configure:117"
"Created controller : FollowPath of type dwb_core::DWBLocalPlanner";"20";"robot_0.controller_server";"1771375425.898845140";"./src/controller_server.cpp:on_configure:174"
"Controller Server has general_goal_checker  goal checkers available.";"20";"robot_0.controller_server";"1771375425.897410479";"./src/controller_server.cpp:on_configure:165"
"Created goal checker : general_goal_checker of type nav2_controller::SimpleGoalChecker";"20";"robot_0.controller_server";"1771375425.896537832";"./src/controller_server.cpp:on_configure:148"
"Created progress_checker : progress_checker of type nav2_controller::SimpleProgressChecker";"20";"robot_0.controller_server";"1771375425.895182486";"./src/controller_server.cpp:on_configure:132"
"Controller frequency set to 20.0000Hz";"20";"robot_0.controller_server";"1771375425.806351518";"./src/controller_server.cpp:on_configure:118"
"getting goal checker plugins..";"20";"robot_0.controller_server";"1771375425.806061288";"./src/controller_server.cpp:on_configure:92"
"Configuring controller interface";"20";"robot_0.controller_server";"1771375425.805392494";"./src/controller_server.cpp:on_configure:83"
"[34m[1mConfiguring controller_server[0m[0m";"20";"robot_0.lifecycle_manager_navigation";"1771375425.804581545";"./src/lifecycle_manager.cpp:message:504"
"[34m[1mStarting managed nodes bringup...[0m[0m";"20";"robot_0.lifecycle_manager_navigation";"1771375425.804361438";"./src/lifecycle_manager.cpp:message:504"
"
	behavior_server lifecycle node launched. 
	Waiting on external lifecycle transitions to activate
	See https://design.ros2.org/articles/node_lifecycle.html for more information.";"20";"robot_0.behavior_server";"1771375421.800030192";"./src/lifecycle_node.cpp:printLifecycleNodeNotification:122"
"Creating";"20";"robot_0.bt_navigator";"1771375421.800493328";"./src/bt_navigator.cpp:BtNavigator:35"
"
	bt_navigator lifecycle node launched. 
	Waiting on external lifecycle transitions to activate
	See https://design.ros2.org/articles/node_lifecycle.html for more information.";"20";"robot_0.bt_navigator";"1771375421.800355754";"./src/lifecycle_node.cpp:printLifecycleNodeNotification:122"
"Creating";"20";"robot_0.waypoint_follower";"1771375421.795862592";"./src/waypoint_follower.cpp:WaypointFollower:35"
"
	waypoint_follower lifecycle node launched. 
	Waiting on external lifecycle transitions to activate
	See https://design.ros2.org/articles/node_lifecycle.html for more information.";"20";"robot_0.waypoint_follower";"1771375421.795411548";"./src/lifecycle_node.cpp:printLifecycleNodeNotification:122"
"Creating";"20";"robot_0.planner_server";"1771375421.796037699";"./src/planner_server.cpp:PlannerServer:51"
"
	planner_server lifecycle node launched. 
	Waiting on external lifecycle transitions to activate
	See https://design.ros2.org/articles/node_lifecycle.html for more information.";"20";"robot_0.planner_server";"1771375421.794964894";"./src/lifecycle_node.cpp:printLifecycleNodeNotification:122"
"Creating controller server";"20";"robot_0.controller_server";"1771375421.797788516";"./src/controller_server.cpp:ControllerServer:49"
"
	controller_server lifecycle node launched. 
	Waiting on external lifecycle transitions to activate
	See https://design.ros2.org/articles/node_lifecycle.html for more information.";"20";"robot_0.controller_server";"1771375421.795383358";"./src/lifecycle_node.cpp:printLifecycleNodeNotification:122"
"Waiting for service controller_server/get_state...";"20";"robot_0.lifecycle_manager_navigation";"1771375423.799343072";"./src/lifecycle_service_client.cpp:LifecycleServiceClient:57"
"[34m[1mCreating and initializing lifecycle service clients[0m[0m";"20";"robot_0.lifecycle_manager_navigation";"1771375421.798780884";"./src/lifecycle_manager.cpp:message:504"
"Creating";"20";"robot_0.lifecycle_manager_navigation";"1771375421.797450800";"./src/lifecycle_manager.cpp:LifecycleManager:38"
"Destroying bond (bt_navigator) to lifecycle manager.";"20";"robot_0.bt_navigator";"1771375406.587823145";"./src/lifecycle_node.cpp:destroyBond:113"
"Completed Cleaning up";"20";"robot_0.bt_navigator";"1771375406.587725546";"./src/bt_navigator.cpp:on_cleanup:198"
"Destroying bond (controller_server) to lifecycle manager.";"20";"robot_0.controller_server";"1771375404.008321711";"./src/lifecycle_node.cpp:destroyBond:113"
"Destroying bond (planner_server) to lifecycle manager.";"20";"robot_0.planner_server";"1771375403.494436541";"./src/lifecycle_node.cpp:destroyBond:113"
"Destroying plugin GridBased of type NavfnPlanner";"20";"robot_0.planner_server";"1771375402.494219289";"./src/navfn_planner.cpp:~NavfnPlanner:57"
"Cleaning up plugin GridBased of type NavfnPlanner";"20";"robot_0.planner_server";"1771375402.493979629";"./src/navfn_planner.cpp:cleanup:124"
"Destroying bond (behavior_server) to lifecycle manager.";"20";"robot_0.behavior_server";"1771375400.958143528";"./src/lifecycle_node.cpp:destroyBond:113"
"Cleaning up";"20";"robot_0.planner_server";"1771375399.465661661";"./src/planner_server.cpp:on_cleanup:235"
"Cleaning up";"20";"robot_0.controller_server";"1771375399.130603416";"./src/controller_server.cpp:on_cleanup:274"
"Cleaning up";"20";"robot_0.bt_navigator";"1771375399.120090700";"./src/bt_navigator.cpp:on_cleanup:185"
"Destroying bond (planner_server) to lifecycle manager.";"20";"robot_0.planner_server";"1771375398.996207031";"./src/lifecycle_node.cpp:destroyBond:113"
"Deactivating plugin GridBased of type NavfnPlanner";"20";"robot_0.planner_server";"1771375398.995999299";"./src/navfn_planner.cpp:deactivate:115"
"Cleaning up";"20";"robot_0.behavior_server";"1771375398.872218642";"./src/behavior_server.cpp:on_cleanup:161"
"Destroying bond (controller_server) to lifecycle manager.";"20";"robot_0.controller_server";"1771375398.854218781";"./src/lifecycle_node.cpp:destroyBond:113"
"Destroying bond (waypoint_follower) to lifecycle manager.";"20";"robot_0.waypoint_follower";"1771375398.784369947";"./src/lifecycle_node.cpp:destroyBond:113"
"Destroying bond (behavior_server) to lifecycle manager.";"20";"robot_0.behavior_server";"1771375398.568633283";"./src/lifecycle_node.cpp:destroyBond:113"
"Deactivating";"20";"robot_0.behavior_server";"1771375398.568313733";"./src/behavior_server.cpp:on_deactivate:145"
"Running Nav2 LifecycleNode rcl preshutdown (behavior_server)";"20";"robot_0.behavior_server";"1771375398.448957944";"./src/lifecycle_node.cpp:on_rcl_preshutdown:92"
"Deactivating";"20";"robot_0.controller_server";"1771375398.520108144";"./src/controller_server.cpp:on_deactivate:244"
"Running Nav2 LifecycleNode rcl preshutdown (controller_server)";"20";"robot_0.controller_server";"1771375398.448987110";"./src/lifecycle_node.cpp:on_rcl_preshutdown:92"
"Destroying bond (bt_navigator) to lifecycle manager.";"20";"robot_0.bt_navigator";"1771375398.508704656";"./src/lifecycle_node.cpp:destroyBond:113"
"Deactivating";"20";"robot_0.bt_navigator";"1771375398.508584027";"./src/bt_navigator.cpp:on_deactivate:170"
"Running Nav2 LifecycleNode rcl preshutdown (bt_navigator)";"20";"robot_0.bt_navigator";"1771375398.448897551";"./src/lifecycle_node.cpp:on_rcl_preshutdown:92"
"Deactivating";"20";"robot_0.planner_server";"1771375398.465355941";"./src/planner_server.cpp:on_deactivate:204"
"Running Nav2 LifecycleNode rcl preshutdown (planner_server)";"20";"robot_0.planner_server";"1771375398.449006476";"./src/lifecycle_node.cpp:on_rcl_preshutdown:92"
"Cleaning up";"20";"robot_0.waypoint_follower";"1771375398.459296756";"./src/waypoint_follower.cpp:on_cleanup:135"
"[34m[1mTerminating bond timer...[0m[0m";"20";"robot_0.lifecycle_manager_navigation";"1771375398.449006966";"./src/lifecycle_manager.cpp:message:504"
"Destroying bond (waypoint_follower) to lifecycle manager.";"20";"robot_0.waypoint_follower";"1771375398.449018453";"./src/lifecycle_node.cpp:destroyBond:113"
