x,y,z
-2.1400320381884144,-0.5276010889277574,-0.38748612463511545
-2.162403158701652,-0.5195016294730448,-0.44130456247614425
-2.288057870553005,-0.5048419840978311,-0.45364180690554257
-2.0594329806949476,-0.4889929034471596,-0.37627510666795766
-2.170011016869929,-0.48694558696552126,-0.4229069491302153
-2.154724807874628,-0.4870597866183146,-0.45714969503642755
-2.269462791313502,-0.48518492784115486,-0.44540639480468414
-2.279569972445224,-0.4849058837940694,-0.47182164131955373
-2.3242422691011493,-0.48416507625542904,-0.46986374089935334
-2.3242422691011493,-0.48416507625542904,-0.46986374089935334
-2.2874292705962165,-0.4673475963754845,-0.45348625052560126
-2.205777102629919,-0.4604577836459127,-0.6360831174160781
-2.06776657281641,-0.43893186669235473,-0.3555220506176419
-1.9695995819361949,-0.41966573768498017,-0.5745926610147648
-2.0427646056444155,-0.4258048131151482,-0.6072335670836454
-2.2068374302749,-0.44616260355506965,-0.46138494188714874
-2.132067292292481,-0.4218235721897108,-0.6033073958179151
-2.152700721193784,-0.44626174257710427,-0.6562415931009487
-2.281831270325991,-0.4445846638751725,-0.5386727810115572
-2.306973126239085,-0.42679549471081035,-0.5061508167500697
-2.274069200402608,-0.4095417396996741,-0.5791294150393499
-2.2581410707816936,-0.4321601852960617,-0.6157483445006077
-2.012066090737603,-0.4089416533740864,-0.5771589783474085
-2.067221786187193,-0.406436730666321,-0.35538723508835945
-2.0508745899284193,-0.404058917781144,-0.3919024602963231
-2.1036576247180525,-0.4007575779128574,-0.37167139163414675
-2.0548674759244467,-0.40862189434626517,-0.48127928981001417
-2.0584832019464008,-0.3906882382779784,-0.5705627854957405
-2.1876980355622453,-0.40600126315008334,-0.5761759258478494
-2.1640911781894543,-0.3865851843895616,-0.5301110185967173
-2.115259122732062,-0.39194987497481315,-0.6397085463472552
-2.2006527367116715,-0.38840490918056747,-0.5464262864184928
-2.2293130904191107,-0.4052832955420016,-0.5810665746088914
-2.2694204305927324,-0.40462747563550505,-0.5770705620141352
-2.32290125586,-0.40417704911442276,-0.4695318872888119
-2.2739434804112504,-0.4020428621552048,-0.5790983037633616
-1.9738568516589101,-0.3696351541709202,-0.5629710038727723
-2.017021433631592,-0.368956494333865,-0.5521264420967738
-2.075067215381164,-0.3684210801806387,-0.44662587954600613
-2.102903304769906,-0.35576431264604147,-0.3714847239782172
-2.053568369347083,-0.33113349305341533,-0.48095780662480214
-2.1058355804273132,-0.36742795817537144,-0.5616630020663329
-2.0577288819982544,-0.3456949730111625,-0.5703761178398109
-2.149733113525331,-0.3666674967512178,-0.5675727069146528
-2.1908177218660665,-0.3659026080619232,-0.5859157164856548
-2.098367139844071,-0.3570769260636024,-0.6760889560259364
-2.1674973708924785,-0.3561533990804926,-0.6193426621557965
-2.151192081297491,-0.35627521204347223,-0.6558682577890895
-2.260066832658534,-0.364647447465279,-0.6086197938354709
-2.2455971996537136,-0.36488275647619717,-0.6103730625803239
-2.220028965699397,-0.33785430412326733,-0.5990493709416436
-2.2039332094233384,-0.35047424632702917,-0.6356268187015837
-2.064903599010143,-0.32895594268365747,-0.3573486016302282
-2.03127393922048,-0.3292071819198026,-0.4326826426238951
-2.0815720853909694,-0.3284752289114439,-0.4058581327583308
-2.0657550529546858,-0.3189498259808454,-0.3550242702018297
-2.1133177186042325,-0.3273730381233786,-0.5432342774444155
-2.193085577300492,-0.32621738817439594,-0.49945086927918536
-2.17645234579858,-0.32616355738785163,-0.5796354531567167
-2.2147240293820336,-0.32539424143341633,-0.6104117674504005
